,retentate_flow,permeate_flow,retentate_O2,permeate_O2,stage_cut,stage,membrane,configuration,rpm,feed_flow,p_out_psia
0,6246.079842870059,1753.920157151734,0.14756114501019202,0.42779663789632216,0.21924001964396675,1,N,NOOO,2500,8000,113.925
1,3473.2287787820565,2772.851064088085,0.07682721782648301,0.2361613279446955,0.443934617206873,2,O,NOOO,2500,8000,113.925
2,1042.810679240874,2430.4180995507386,0.02927389827709738,0.09723074766941549,0.6997575611483341,3,O,NOOO,2500,8000,113.925
3,0.0014514155802384716,1042.8106792348751,0.0059043206224352295,0.02903815600433896,0.9999999999942475,4,O,NOOO,2500,8000,113.925
4,6349.280638435969,1750.7193622850539,0.1483063455428492,0.4291157346232834,0.21613819287469802,1,N,NOOO,2500,8100,113.5722
5,3578.0577798010686,2771.222858634913,0.07799394669443618,0.2390900314999582,0.43646249338217213,2,O,NOOO,2500,8100,113.5722
6,1149.148745068333,2428.9090347331567,0.030351716360212024,0.10053411117471645,0.678834491842163,3,O,NOOO,2500,8100,113.5722
7,0.001501899148293321,1149.1487450683328,0.006378020500825309,0.03014681038800388,0.9999999999999998,4,O,NOOO,2500,8100,113.5722
8,6452.561262678202,1747.4387409016638,0.14904056991098488,0.43040503312017697,0.21310228547581267,1,N,NOOO,2500,8200,113.2194
9,3683.0812733334797,2769.4799921353365,0.07915337180776807,0.24198227059396682,0.42920630729290205,2,O,NOOO,2500,8200,113.2194
10,1255.6898254436242,2427.391447889867,0.03143557484772944,0.10383779268522338,0.6590654041399651,3,O,NOOO,2500,8200,113.2194
11,0.001507013533889155,1255.689825443624,0.006872945733790369,0.03126101016761851,0.9999999999999998,4,O,NOOO,2500,8200,113.2194
12,6555.920060278734,1744.0799481831039,0.14976405045850347,0.4316652513234236,0.21013011423892816,1,N,NOOO,2500,8300,112.86659999999999
13,3788.293340381484,2767.6267212713446,0.08030544565826159,0.2448381238870317,0.4221568743706852,2,O,NOOO,2500,8300,112.86659999999999
14,1362.4320731276216,2425.861267275447,0.03252503147077592,0.10714026726196703,0.6403572926670882,3,O,NOOO,2500,8300,112.86659999999999
15,0.0014614897391592102,1362.4320731276214,0.0073891375946602235,0.032379884400501206,0.9999999999999998,4,O,NOOO,2500,8300,112.86659999999999
16,6659.355263035296,1740.6447415234602,0.1504770113846658,0.4328970700585579,0.20721961208612621,1,N,NOOO,2500,8400,112.51379999999999
17,3893.6953145520483,2765.6599491349048,0.08145014267010235,0.2476580058590019,0.41530446115204445,2,O,NOOO,2500,8400,112.51379999999999
18,1469.3771615806822,2424.31815297374,0.03361969689778789,0.11044013438695507,0.6226265686257597,3,O,NOOO,2500,8400,112.51379999999999
19,0.0013640180249243155,1469.377161580682,0.007926611245278378,0.03350259732336316,0.9999999999999999,4,O,NOOO,2500,8400,112.51379999999999
