Series,slope,intercept,R2,p,slope stderr,intercept stderr
80 psig,-0.29222290813069124,0.4897806468427758,0.9872606321792006,6.111961385830786e-05,0.016597485256999736,0.005606735553189445
100 psig,-0.32672800027493537,0.5179937269427874,0.9956420211209478,7.132363732570827e-06,0.010808049142987991,0.0036425628960786364
120 psig,-0.3315373367385076,0.5259638621704762,0.998152946530756,1.2801409411796572e-06,0.007130888340621329,0.002414607844040493
Slope vs Pressure,-0.000982860715195409,-0.21854334352850383,0.8402094369341633,0.2617978666549773,0.0004286213134006322,0.04342986642576555
