Series,slope,intercept,R2,p,slope stderr,intercept stderr
80 psig,-0.2462353984161431,0.4666944224453025,0.9980825243150346,0.0009591978727622184,0.007631628052829202,0.0020311907915214807
100 psig,-0.26701043357417503,0.4795198750367444,0.9842231269506823,0.007919798125835875,0.023904348776537437,0.006285958537741312
120 psig,-0.3164717408783791,0.5061931682535802,0.9991229335364914,0.0004386294296425675,0.006630201493774725,0.001751686180667426
Slope vs Pressure,-0.0017559085615559,-0.10098166813397574,0.9473252697186333,0.14742456711888527,0.00041405067364098464,0.04195350274828328
