Series,slope,intercept,R2,p,slope stderr,intercept stderr
80 psig,-0.2881319540235133,0.5194250992634353,0.9982434647736579,0.0008786536292711976,0.008546467012892961,0.0022824758457501157
100 psig,-0.3333210619174188,0.5371142439388777,0.9983502771442222,0.0008252019069825425,0.00958102080350662,0.002552932369498345
120 psig,-0.35477785572328824,0.5518874343873342,0.9940425571949114,0.00298317105732293,0.01942088240184792,0.005118143636991916
Slope vs Pressure,-0.0016661475424943725,-0.15879553630530288,0.9594461018249864,0.12908520420143663,0.0003425464481805085,0.03470836849215339
