,configuration,rpm,feed_flow,p_ratio,p_out_psia,O2_product_flow,O2_product_O2,N2_product_flow,N2_product_O2,theta_1,theta_2,theta_3,theta_4,min_stage_cut,max_stage_cut,O2_flow_met,O2_purity_met,N2_flow_met,N2_purity_met,product_specs_met,stage_cuts_valid,stage_cut_penalty,ideal_power_kW
0,NOOO,2500,8000,7.75,113.925,1753.920157151734,0.42779663789632216,0.0014514155802384716,0.0059043206224352295,0.21924001964396675,0.443934617206873,0.6997575611483341,0.9999999999942475,0.21924001964396675,0.9999999999942475,False,True,False,True,False,False,0.9436921783494545,41.034436872451806
1,NOOO,2500,8100,7.726,113.5722,1750.7193622850539,0.4291157346232834,0.001501899148293321,0.006378020500825309,0.21613819287469802,0.43646249338217213,0.678834491842163,0.9999999999999998,0.21613819287469802,0.9999999999999998,False,True,False,True,False,False,0.9152969852243349,41.46427979624475
2,NOOO,2500,8200,7.702,113.2194,1747.4387409016638,0.43040503312017697,0.001507013533889155,0.006872945733790369,0.21310228547581267,0.42920630729290205,0.6590654041399651,0.9999999999999998,0.21310228547581267,0.9999999999999998,False,True,False,True,False,False,0.8882717114328669,41.891884333236035
3,NOOO,2500,8300,7.678,112.86659999999999,1744.0799481831039,0.4316652513234236,0.0014614897391592102,0.0073891375946602235,0.21013011423892816,0.4221568743706852,0.6403572926670882,0.9999999999999998,0.21013011423892816,0.9999999999999998,False,True,False,True,False,False,0.8625141670377732,42.317242636334086
4,NOOO,2500,8400,7.654,112.51379999999999,1740.6447415234602,0.4328970700585579,0.0013640180249243155,0.007926611245278378,0.20721961208612621,0.41530446115204445,0.6226265686257597,0.9999999999999999,0.20721961208612621,0.9999999999999999,False,True,False,True,False,False,0.837931029777804,42.74034680101181
5,NOOO,2500,8500,7.63,112.16099999999999,1737.1345187189013,0.4341011717441121,0.0012157239829417702,0.008485341628935269,0.20436876690810604,0.40864039184198514,0.6057973591475052,0.9999999999982172,0.20436876690810604,0.9999999999982172,False,True,False,True,False,False,0.8144377509877074,43.16118886468663
6,NOOO,2500,8600,7.606,111.8082,1733.5507155630319,0.43527820759306546,0.0010419121768774527,0.009065250400395124,0.20157566460035253,0.4021564848404957,0.5898021056586844,0.999999999999922,0.20157566460035253,0.999999999999922,False,True,False,True,False,False,0.791958590499102,43.579760806091514
7,NOOO,2500,8700,7.582,111.4554,1729.894781665219,0.436428803417847,0.0007949843380975496,0.009666228717428149,0.1988384806511746,0.3958450251556331,0.5745786623908802,0.999999999850754,0.1988384806511746,0.999999999850754,False,True,False,True,False,False,0.7757401815904597,43.9960545446373
8,NOOO,2500,8800,7.558,111.1026,1726.1682741696452,0.4375535501393704,0.0005597161774594361,0.010288068855169637,0.19615548570109603,0.38969873915877945,0.5600744811125652,0.9999999957118411,0.19615548570109603,0.9999999957118411,False,True,False,True,False,False,0.7639189911233102,44.41006193976569
9,NOOO,2500,8900,7.534,110.7498,1722.3726293911825,0.4386530304270439,0.0004817644146996314,0.010930586318069773,0.19352501453833512,0.3837107567995015,0.5462368910744878,0.9999999152361843,0.19352501453833512,0.9999999152361843,False,True,False,True,False,False,0.7527117917723369,44.82177479029314
10,NOOO,2500,9000,7.51,110.39699999999999,1718.5091115979155,0.4397278173476071,0.00029829222524682675,0.011593511534989392,0.19094545684421282,0.37787458209848585,0.5330207013370656,0.9999999153357,0.19094545684421282,0.9999999153357,False,True,False,True,False,False,0.7420751598285527,45.2311848337454
11,NOOO,2500,9100,7.482,109.9854,1713.571292873227,0.44080011507103234,3.7856201659070567,0.012313930483296699,0.1883045376783766,0.3719459899749608,0.5198663795876562,0.998300413311574,0.1883045376783766,0.998300413311574,False,True,False,True,False,False,0.7298622552208537,45.622350863846535
12,NOOO,2500,9200,7.454,109.57379999999999,1708.5618911263894,0.44184730422283613,120.28989324165512,0.01315914790481891,0.1857132490354771,0.36616361722834495,0.5072873749603196,0.9485846153982358,0.1857132490354771,0.9485846153982358,False,True,False,True,False,False,0.6701587413230783,46.010767018542424
13,NOOO,2500,9300,7.426,109.1622,1703.4822632033352,0.44286991092951805,237.11388743529187,0.014023016961122795,0.1831701358283156,0.3605216608164567,0.495245989713223,0.903297696764119,0.1831701358283156,0.903297696764119,False,True,False,True,False,False,0.6153735506490263,46.39642150243944
14,NOOO,2500,9400,7.398,108.75059999999999,1698.3337488822438,0.44386842896590956,354.12374194360444,0.01490488942186906,0.18067380307257913,0.3550146225542367,0.4837074903840691,0.8619219462969284,0.18067380307257913,0.8619219462969284,False,True,False,True,False,False,0.5649556336084184,46.779302415272255
15,NOOO,2500,9500,7.37,108.339,1693.117657817103,0.4448433357599703,471.30724795731965,0.01580421731154487,0.17822291134916873,0.3496372925352957,0.4726408593109784,0.8239790437347313,0.17822291134916873,0.8239790437347313,False,True,False,True,False,False,0.518396991696541,47.15939775053165
16,NOOO,2500,9600,7.3420000000000005,107.9274,1687.8352703913117,0.4457950929863323,588.680677829382,0.016720510596355577,0.17581617399909497,0.34438455247496164,0.4620164043704918,0.7890564504348613,0.17581617399909497,0.7890564504348613,False,True,False,True,False,False,0.47525668080625805,47.53669539406867
17,NOOO,2500,9700,7.314,107.5158,1682.4878385438587,0.4467241471329155,706.2444807743099,0.01765323497433666,0.1734523544890576,0.3392521562707159,0.45180776205781215,0.7568093894511702,0.1734523544890576,0.7568093894511702,False,True,False,True,False,False,0.43516479701992467,47.911183122674785
18,NOOO,2500,9800,7.2860000000000005,107.1042,1677.0765865692556,0.4476309300419857,823.9991369923267,0.018601889872919216,0.17113026393563832,0.3342353499261401,0.4419901136395258,0.7269439691492904,0.17113026393563832,0.7269439691492904,False,True,False,True,False,False,0.39780381885317784,48.28284860263754
19,NOOO,2500,9900,7.258,106.6926,1671.6027118922468,0.4485158594269545,941.9613676798833,0.019565987094658312,0.16884875877699462,0.3293299223523726,0.4325407303000498,0.6992025058770719,0.16884875877699462,0.6992025058770719,False,True,False,True,False,False,0.36289447740012704,48.6516793882711
20,NOOO,2500,10000,7.23,106.281,1666.0673858183472,0.4493793393661239,1060.1168355003124,0.020545006533559042,0.16660673858183472,0.3245318631169422,0.4234385897944166,0.6733720777092632,0.16660673858183472,0.6733720777092632,False,True,False,True,False,False,0.3302039289218451,49.017662920421145
21,NOOO,2500,10100,7.197,105.79589999999999,1659.1725182593684,0.45023930456266326,1184.4701635954,0.021603331749799268,0.1642745067583533,0.3195743529803656,0.4141827950386841,0.6479565210465554,0.1642745067583533,0.6479565210465554,False,True,False,True,False,False,0.2978648093268862,49.35806137312792
22,NOOO,2500,10200,7.164000000000001,105.3108,1652.2108265559882,0.4510766192032491,1309.0656614053573,0.02267903048023021,0.1619814535839204,0.3147225871402619,0.4052611541603915,0.624236229032815,0.1619814535839204,0.624236229032815,False,True,False,True,False,False,0.267515929609286,49.694997700284915
23,NOOO,2500,10300,7.131,104.8257,1645.183524370127,0.45189164124511005,1433.9042295760848,0.02377156141062741,0.15972655576409,0.3099728462288408,0.3966558757550675,0.6020477050196728,0.15972655576409,0.6020477050196728,False,True,False,True,False,False,0.24232114925558274,50.028453343721594
24,NOOO,2500,10400,7.098000000000001,104.34060000000001,1638.0918015716472,0.45268471626474915,1558.9940060543465,0.024880426358420363,0.15750882707419686,0.3053215872777818,0.38834909254613525,0.5812466261545363,0.15750882707419686,0.5812466261545363,False,True,False,True,False,False,0.2237377990803394,50.35840954099666
25,NOOO,2500,10500,7.065,103.8555,1630.9368248684814,0.453456177834632,1684.340193939445,0.026005113147644567,0.1553273166541411,0.3007654337872637,0.38032486070295096,0.5617064276004506,0.1553273166541411,0.5617064276004506,False,True,False,True,False,False,0.20637911094630954,50.684847322097895
26,NOOO,2500,10600,7.032,103.37039999999999,1623.719738420147,0.45420634788314285,1809.9494952635648,0.02714511835173902,0.15318110739812707,0.296301166302451,0.37256830240125294,0.5433149802234016,0.15318110739812707,0.5433149802234016,False,True,False,True,False,False,0.19013387282527455,51.0077475060724
27,NOOO,2500,10700,6.9990000000000006,102.8853,1616.4416644657306,0.45493553703780387,1935.820396070126,0.028299930059624282,0.1510693144360496,0.29192571353237345,0.3650655418870309,0.5259749078748431,0.1510693144360496,0.5259749078748431,False,True,False,True,False,False,0.17490559343879353,51.32709069758497
28,NOOO,2500,10800,6.966,102.4002,1609.103703903309,0.4556440449543957,2061.96313549719,0.029469061837547963,0.14899108369475084,0.28763614401267273,0.357803632605579,0.5095967835014613,0.14899108369475084,0.5095967835014613,False,True,False,True,False,False,0.16060569980671047,51.642857283403195
29,NOOO,2500,10900,6.933000000000001,101.91510000000001,1601.7069367568497,0.45633216063478754,2188.3806737303807,0.030652020710046236,0.14694559052815134,0.2834296582984962,0.35077048498769386,0.4941024732927289,0.14694559052815134,0.4941024732927289,False,True,False,True,False,False,0.14715688276457753,51.955027428806794
30,NOOO,2500,11000,6.9,101.43,1594.2524228251398,0.45700016272497235,2315.0770699340396,0.03184832145039413,0.14493203843864907,0.2793035816577278,0.3439547986483817,0.4794217643614797,0.14493203843864907,0.4794217643614797,False,True,False,True,False,False,0.13448972592283062,52.26358107391968
31,NOOO,2500,11100,6.86,100.842,1584.8694161936621,0.4576581789654735,2450.665779203265,0.03317248801613681,0.1427810284859155,0.27492307861187465,0.3368148510488512,0.4643878004759054,0.1427810284859155,0.4643878004759054,False,True,False,True,False,False,0.12160677198998987,52.53231842175586
32,NOOO,2500,11200,6.82,100.254,1575.420422833859,0.45829344573647324,2586.5918717998143,0.034513857357886694,0.14066253775302312,0.27062439967325225,0.3298942972505061,0.4501406722612352,0.14066253775302312,0.4501406722612352,False,True,False,True,False,False,0.10947813450821209,52.796467957445955
33,NOOO,2500,11300,6.78,99.666,1565.9066148518941,0.4589061776289072,2722.867390704494,0.03587191481537119,0.13857580662406144,0.2664046796293121,0.32318219692641553,0.4366184028759324,0.13857580662406144,0.4366184028759324,False,True,False,True,False,False,0.09804259625187095,53.05599756497476
34,NOOO,2500,11400,6.74,99.078,1556.3291464873214,0.45949657856335757,2859.4952837536543,0.037246105938436296,0.13652010056906327,0.2622614737966302,0.31666874837261805,0.4237664320449937,0.13652010056906327,0.4237664320449937,False,True,False,True,False,False,0.08724633147593042,53.31087467252906
35,NOOO,2500,11500,6.7,98.49,1546.6891546209633,0.4600648419772525,2996.4820350209,0.038635895852633745,0.13449470909747507,0.2581924296243922,0.3103443411381133,0.4115351243677774,0.13449470909747507,0.4115351243677774,False,True,False,True,False,False,0.07704041527030231,53.56106624303649
36,NOOO,2500,11600,6.66,97.902,1536.987759271064,0.4606111510164122,3133.832674599006,0.040040746626429695,0.1324989447647469,0.2541952901994219,0.30420015273806916,0.3998796515496769,0.1324989447647469,0.3998796515496769,False,True,False,True,False,False,0.0675010552352531,53.80653876444714
37,NOOO,2500,11700,6.62,97.314,1527.226064107793,0.4611356786951018,3271.55371550771,0.04146012837323605,0.1305321422314353,0.2502678902918553,0.29822788667641137,0.38875904713148596,0.1305321422314353,0.38875904713148596,False,True,False,True,False,False,0.0694678577685647,54.04725823974971
